GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0030182;BP;e;neuron differentiation;6/956;40/46923;0.000149598;4;6;0.545884002;0.004549033;172893.0, 173749.0, 179217.0, 180672.0, 188793.0, 192081.0
GO:0040026;BP;e;positive regulation of vulval development;6/956;40/46923;0.000149598;5;6;0.545884002;0.004549033;172597.0, 172893.0, 178104.0, 180761.0, 181292.0, 181400.0
GO:0006915;BP;e;apoptotic process;7/956;57/46923;0.000155348;4;7;0.566865537;0.004590864;174476.0, 174974.0, 175832.0, 178487.0, 180245.0, 180420.0, 181053.0
GO:0045773;BP;e;positive regulation of axon extension;3/956;6/46923;0.000161039;10;3;0.587630571;0.004590864;171988.0, 174693.0, 177144.0
GO:1904014;BP;e;response to serotonin;3/956;6/46923;0.000161039;6;3;0.587630571;0.004590864;172505.0, 172613.0, 172823.0
GO:0042074;BP;e;cell migration involved in gastrulation;3/956;6/46923;0.000161039;5;3;0.587630571;0.004590864;173007.0, 177602.0, 179624.0
GO:0051693;BP;e;actin filament capping;3/956;6/46923;0.000161039;12;3;0.587630571;0.004590864;174673.0, 177497.0, 179077.0
GO:0048280;BP;e;vesicle fusion with Golgi apparatus;3/956;6/46923;0.000161039;8;3;0.587630571;0.004590864;178397.0, 179507.0, 259570.0
GO:0048681;BP;e;negative regulation of axon regeneration;3/956;6/46923;0.000161039;10;3;0.587630571;0.004590864;172505.0, 175667.0, 179259.0
GO:0015870;BP;e;acetylcholine transport;3/956;6/46923;0.000161039;6;3;0.587630571;0.004590864;171715.0, 178284.0, 266844.0
GO:0010468;BP;e;regulation of gene expression;9/956;98/46923;0.000181811;7;9;0.663429966;0.005142868;172889.0, 175698.0, 176506.0, 176774.0, 177084.0, 177335.0, 180549.0, 181111.0, 192081.0
GO:0006325;BP;e;chromatin organization;8/956;78/46923;0.000192086;6;8;0.700922268;0.00539171;173074.0, 174285.0, 176237.0, 176426.0, 176506.0, 179388.0, 181111.0, 266825.0
GO:0032956;BP;e;regulation of actin cytoskeleton organization;4/956;15/46923;0.000195359;7;4;0.712864388;0.005441713;179624.0, 180492.0, 180799.0, 181711.0
GO:0045727;BP;e;positive regulation of translation;4/956;16/46923;0.000256282;10;4;0.935173138;0.007084645;172070.0, 173437.0, 179388.0, 180357.0
GO:0006935;BP;e;chemotaxis;7/956;62/46923;0.000264648;3;7;0.965701211;0.007260911;172051.0, 172505.0, 175622.0, 176022.0, 178537.0, 179649.0, 183963.0
GO:0007638;BP;e;mechanosensory behavior;5/956;29/46923;0.000274785;3;5;1;0.007482769;172389.0, 176157.0, 180714.0, 181292.0, 181759.0
GO:0046688;BP;e;response to copper ion;3/956;7/46923;0.000277538;5;3;1;0.007501748;173904.0, 178895.0, 3565400.0
GO:0006470;BP;e;protein dephosphorylation;10/956;128/46923;0.000306766;6;10;1;0.008230804;173904.0, 174381.0, 174685.0, 175610.0, 175807.0, 176000.0, 177898.0, 181164.0, 185379.0, 3565419.0
GO:0043547;BP;e;positive regulation of GTPase activity;5/956;30/46923;0.000324238;6;5;1;0.008636101;172823.0, 177894.0, 180571.0, 180799.0, 181595.0
GO:0007281;BP;e;germ cell development;6/956;46/46923;0.000329134;4;6;1;0.008702983;174329.0, 175270.0, 176506.0, 176758.0, 181540.0, 190457.0
GO:0006457;BP;e;protein folding;8/956;86/46923;0.000376976;2;8;1;0.009896289;172651.0, 173374.0, 175472.0, 176390.0, 177570.0, 178487.0, 180028.0, 180880.0
GO:0007018;BP;e;microtubule-based movement;5/956;31/46923;0.000380143;3;5;1;0.009908143;176179.0, 176758.0, 177685.0, 178942.0, 191697.0
GO:0003384;BP;e;apical constriction involved in gastrulation;2/956;2/46923;0.000414667;6;2;1;0.009948518;173007.0, 177602.0
GO:0046329;BP;e;negative regulation of JNK cascade;2/956;2/46923;0.000414667;9;2;1;0.009948518;173904.0, 179259.0
GO:0009100;BP;e;glycoprotein metabolic process;2/956;2/46923;0.000414667;5;2;1;0.009948518;176000.0, 181164.0
GO:0071596;BP;e;ubiquitin-dependent protein catabolic process via the N-end rule pathway;2/956;2/46923;0.000414667;10;2;1;0.009948518;171953.0, 173813.0
GO:0071985;BP;e;multivesicular body sorting pathway;2/956;2/46923;0.000414667;5;2;1;0.009948518;173143.0, 175672.0
GO:1905897;BP;e;regulation of response to endoplasmic reticulum stress;2/956;2/46923;0.000414667;6;2;1;0.009948518;176616.0, 177074.0
GO:0061357;BP;e;positive regulation of Wnt protein secretion;2/956;2/46923;0.000414667;10;2;1;0.009948518;175020.0, 180713.0
GO:0042262;BP;e;DNA protection;2/956;2/46923;0.000414667;7;2;1;0.009948518;173074.0, 174285.0
GO:0030032;BP;e;lamellipodium assembly;2/956;2/46923;0.000414667;7;2;1;0.009948518;176168.0, 181227.0
GO:0006437;BP;e;tyrosyl-tRNA aminoacylation;2/956;2/46923;0.000414667;11;2;1;0.009948518;173311.0, 177237.0
GO:1903753;BP;e;negative regulation of p38MAPK cascade;2/956;2/46923;0.000414667;9;2;1;0.009948518;173904.0, 179259.0
GO:0006612;BP;e;protein targeting to membrane;4/956;18/46923;0.000417134;7;4;1;0.009948518;172257.0, 173045.0, 178158.0, 178394.0
GO:0046777;BP;e;protein autophosphorylation;4/956;18/46923;0.000417134;7;4;1;0.009948518;174623.0, 178250.0, 180311.0, 180574.0
GO:0097374;BP;e;sensory neuron axon guidance;3/956;8/46923;0.000437324;9;3;1;0.010164296;172233.0, 175101.0, 180637.0
GO:0051932;BP;e;synaptic transmission, GABAergic;3/956;8/46923;0.000437324;9;3;1;0.010164296;176758.0, 176774.0, 188812.0
GO:0001966;BP;e;thigmotaxis;3/956;8/46923;0.000437324;3;3;1;0.010164296;172493.0, 173336.0, 180852.0
GO:0008333;BP;e;endosome to lysosome transport;3/956;8/46923;0.000437324;7;3;1;0.010164296;174834.0, 177282.0, 178405.0
GO:0006338;BP;e;chromatin remodeling;10/956;134/46923;0.000442277;7;10;1;0.010167331;171705.0, 171920.0, 173074.0, 174285.0, 177924.0, 179388.0, 181111.0, 181371.0, 183226.0, 266825.0
GO:1901046;BP;e;positive regulation of egg-laying behavior;5/956;32/46923;0.000443027;6;5;1;0.010167331;173073.0, 173437.0, 180492.0, 180761.0, 190778.0
GO:0046716;BP;e;muscle cell cellular homeostasis;4/956;19/46923;0.000519876;3;4;1;0.011812324;171715.0, 176122.0, 179077.0, 266844.0
GO:0045892;BP;e;negative regulation of DNA-templated transcription;6/956;50/46923;0.00052118;9;6;1;0.011812324;175698.0, 177212.0, 177568.0, 177643.0, 177924.0, 178439.0
GO:0006937;BP;e;regulation of muscle contraction;5/956;34/46923;0.000591935;6;5;1;0.013333148;172105.0, 177570.0, 179796.0, 181475.0, 181684.0
GO:0045595;BP;e;regulation of cell differentiation;3/956;9/46923;0.000646044;4;3;1;0.014032226;172893.0, 176506.0, 180942.0
GO:0031167;BP;e;rRNA methylation;3/956;9/46923;0.000646044;11;3;1;0.014032226;174691.0, 175414.0, 188022.0
GO:0000460;BP;e;maturation of 5.8S rRNA;3/956;9/46923;0.000646044;10;3;1;0.014032226;175903.0, 177824.0, 178728.0
GO:0016358;BP;e;dendrite development;3/956;9/46923;0.000646044;7;3;1;0.014032226;173357.0, 177144.0, 179077.0
GO:0008544;BP;e;epidermis development;3/956;9/46923;0.000646044;4;3;1;0.014032226;174685.0, 177894.0, 180011.0
GO:0007617;BP;e;mating behavior;3/956;9/46923;0.000646044;4;3;1;0.014032226;174693.0, 180549.0, 180990.0
GO:0006887;BP;e;exocytosis;5/956;35/46923;0.000679094;6;5;1;0.014662804;172023.0, 175807.0, 177539.0, 180990.0, 186226.0
GO:0000209;BP;e;protein polyubiquitination;6/956;53/46923;0.00071507;10;6;1;0.015259007;171616.0, 172303.0, 177084.0, 178006.0, 178437.0, 181076.0
GO:0007155;BP;e;cell adhesion;6/956;53/46923;0.00071507;2;6;1;0.015259007;171776.0, 171818.0, 173007.0, 178942.0, 179624.0, 180555.0
GO:0036498;BP;e;IRE1-mediated unfolded protein response;9/956;118/46923;0.000721018;6;9;1;0.015296481;172497.0, 175472.0, 175541.0, 176390.0, 178013.0, 178417.0, 179193.0, 180880.0, 180891.0
GO:0043065;BP;e;positive regulation of apoptotic process;4/956;21/46923;0.000777174;6;4;1;0.016392524;172775.0, 177084.0, 181053.0, 181573.0
GO:0070588;BP;e;calcium ion transmembrane transport;5/956;37/46923;0.000881765;8;5;1;0.018491718;174352.0, 174730.0, 175221.0, 177513.0, 181591.0
GO:0042464;BP;e;dosage compensation by hypoactivation of X chromosome;3/956;10/46923;0.000908947;10;3;1;0.018529315;179671.0, 180549.0, 181231.0
GO:0097475;BP;e;motor neuron migration;3/956;10/46923;0.000908947;5;3;1;0.018529315;174473.0, 178768.0, 179217.0
GO:0040013;BP;e;negative regulation of locomotion;3/956;10/46923;0.000908947;4;3;1;0.018529315;172823.0, 174803.0, 266844.0
GO:0008078;BP;e;mesodermal cell migration;3/956;10/46923;0.000908947;5;3;1;0.018529315;171988.0, 174693.0, 176168.0
GO:0043518;BP;e;negative regulation of DNA damage response, signal transduction by p53 class mediator;3/956;10/46923;0.000908947;9;3;1;0.018529315;172775.0, 175667.0, 181261.0
GO:0007156;BP;e;homophilic cell adhesion via plasma membrane adhesion molecules;4/956;22/46923;0.000934641;5;4;1;0.018947252;173007.0, 175590.0, 181115.0, 184652.0
GO:0045138;BP;e;nematode male tail tip morphogenesis;7/956;78/46923;0.001074083;4;7;1;0.021286985;172233.0, 174285.0, 175101.0, 179671.0, 180311.0, 180761.0, 266825.0
GO:0000413;BP;e;protein peptidyl-prolyl isomerization;4/956;23/46923;0.001113271;8;4;1;0.021286985;173160.0, 173374.0, 178487.0, 180028.0
GO:0008406;BP;e;gonad development;6/956;58/46923;0.001156942;4;6;1;0.021286985;174267.0, 174860.0, 175890.0, 175953.0, 176506.0, 178229.0
GO:0006888;BP;e;endoplasmic reticulum to Golgi vesicle-mediated transport;6/956;58/46923;0.001156942;6;6;1;0.021286985;176344.0, 176766.0, 179507.0, 180307.0, 180478.0, 259570.0
GO:1905490;BP;e;negative regulation of sensory neuron axon guidance;2/956;3/46923;0.001227138;10;2;1;0.021286985;172233.0, 179259.0
GO:1990481;BP;e;mRNA pseudouridine synthesis;2/956;3/46923;0.001227138;9;2;1;0.021286985;174509.0, 176504.0
GO:0048854;BP;e;brain morphogenesis;2/956;3/46923;0.001227138;4;2;1;0.021286985;176758.0, 181540.0
GO:0048167;BP;e;regulation of synaptic plasticity;2/956;3/46923;0.001227138;7;2;1;0.021286985;177102.0, 180990.0
GO:0001188;BP;e;RNA polymerase I preinitiation complex assembly;2/956;3/46923;0.001227138;8;2;1;0.021286985;174999.0, 24104475.0
GO:0031120;BP;e;snRNA pseudouridine synthesis;2/956;3/46923;0.001227138;10;2;1;0.021286985;176504.0, 176531.0
GO:0048790;BP;e;maintenance of presynaptic active zone structure;2/956;3/46923;0.001227138;7;2;1;0.021286985;177102.0, 177539.0
GO:0000472;BP;e;endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA);2/956;3/46923;0.001227138;11;2;1;0.021286985;178103.0, 190203.0
GO:0006362;BP;e;transcription elongation by RNA polymerase I;2/956;3/46923;0.001227138;9;2;1;0.021286985;176362.0, 24104475.0
GO:0101030;BP;e;tRNA-guanine transglycosylation;2/956;3/46923;0.001227138;11;2;1;0.021286985;178131.0, 180244.0
GO:0000480;BP;e;endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);2/956;3/46923;0.001227138;11;2;1;0.021286985;178103.0, 190203.0
GO:0048490;BP;e;anterograde synaptic vesicle transport;2/956;3/46923;0.001227138;10;2;1;0.021286985;173701.0, 181255.0
GO:0050975;BP;e;sensory perception of touch;2/956;3/46923;0.001227138;6;2;1;0.021286985;172597.0, 179649.0
GO:0031118;BP;e;rRNA pseudouridine synthesis;2/956;3/46923;0.001227138;11;2;1;0.021286985;176504.0, 176531.0
GO:1905608;BP;e;positive regulation of presynapse assembly;2/956;3/46923;0.001227138;8;2;1;0.021286985;179259.0, 181255.0
GO:0007538;BP;e;primary sex determination;2/956;3/46923;0.001227138;4;2;1;0.021286985;180549.0, 181231.0
GO:0010976;BP;e;positive regulation of neuron projection development;2/956;3/46923;0.001227138;8;2;1;0.021286985;174473.0, 181711.0
GO:0000479;BP;e;endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);2/956;3/46923;0.001227138;10;2;1;0.021286985;174151.0, 178851.0
GO:0048692;BP;e;negative regulation of axon extension involved in regeneration;2/956;3/46923;0.001227138;12;2;1;0.021286985;173904.0, 179259.0
GO:0016199;BP;e;axon midline choice point recognition;2/956;3/46923;0.001227138;5;2;1;0.021286985;172233.0, 178619.0
GO:0032469;BP;e;endoplasmic reticulum calcium ion homeostasis;2/956;3/46923;0.001227138;7;2;1;0.021286985;174352.0, 178417.0
GO:0072347;BP;e;response to anesthetic;2/956;3/46923;0.001227138;3;2;1;0.021286985;180374.0, 3565180.0
GO:0016185;BP;e;synaptic vesicle budding from presynaptic endocytic zone membrane;2/956;3/46923;0.001227138;8;2;1;0.021286985;178284.0, 181644.0
GO:0034394;BP;e;protein localization to cell surface;2/956;3/46923;0.001227138;5;2;1;0.021286985;177570.0, 189194.0
GO:0014057;BP;e;positive regulation of acetylcholine secretion, neurotransmission;3/956;11/46923;0.0012309;9;3;1;0.021286985;171988.0, 178537.0, 180420.0
GO:1905815;BP;e;regulation of dorsal/ventral axon guidance;3/956;11/46923;0.0012309;9;3;1;0.021286985;171988.0, 172233.0, 179259.0
GO:0046488;BP;e;phosphatidylinositol metabolic process;3/956;11/46923;0.0012309;7;3;1;0.021286985;172184.0, 175344.0, 178537.0
GO:0006289;BP;e;nucleotide-excision repair;4/956;24/46923;0.001314525;8;4;1;0.022625956;172434.0, 176838.0, 187120.0, 190298.0
GO:0006397;BP;e;mRNA processing;9/956;130/46923;0.001432174;8;9;1;0.024535228;173073.0, 173203.0, 175270.0, 176022.0, 178353.0, 179423.0, 182722.0, 4363023.0, 24105155.0
GO:0006914;BP;e;autophagy;6/956;61/46923;0.001507538;4;6;1;0.025705641;172936.0, 172990.0, 176040.0, 180311.0, 181053.0, 181595.0
GO:0000381;BP;e;regulation of alternative mRNA splicing, via spliceosome;4/956;25/46923;0.001539861;10;4;1;0.026134671;179423.0, 180549.0, 181231.0, 182722.0
GO:0008582;BP;e;regulation of synaptic assembly at neuromuscular junction;3/956;12/46923;0.001616404;7;3;1;0.026932691;175667.0, 179259.0, 185682.0
GO:0030010;BP;e;establishment of cell polarity;3/956;12/46923;0.001616404;3;3;1;0.026932691;179217.0, 179912.0, 181471.0
GO:0007034;BP;e;vacuolar transport;3/956;12/46923;0.001616404;5;3;1;0.026932691;171654.0, 174091.0, 174908.0
GO:0007274;BP;e;neuromuscular synaptic transmission;3/956;12/46923;0.001616404;9;3;1;0.026932691;172105.0, 177102.0, 181255.0
GO:0030431;BP;e;sleep;4/956;26/46923;0.001790727;2;4;1;0.029701654;172544.0, 175622.0, 176349.0, 185390.0
GO:0045214;BP;e;sarcomere organization;4/956;27/46923;0.002068558;8;4;1;0.033714344;171715.0, 172303.0, 180203.0, 266844.0
GO:0001522;BP;e;pseudouridine synthesis;3/956;13/46923;0.002069612;8;3;1;0.033714344;174509.0, 176504.0, 177848.0
GO:0008306;BP;e;associative learning;3/956;13/46923;0.002069612;7;3;1;0.033714344;172585.0, 178104.0, 179649.0
GO:0030490;BP;e;maturation of SSU-rRNA;3/956;13/46923;0.002069612;10;3;1;0.033714344;171622.0, 172651.0, 173322.0
GO:0006099;BP;e;tricarboxylic acid cycle;4/956;28/46923;0.002374773;3;4;1;0.036657532;174692.0, 175598.0, 179063.0, 181570.0
GO:0032888;BP;e;regulation of mitotic spindle elongation;2/956;4/46923;0.002421065;7;2;1;0.036657532;172184.0, 172891.0
GO:1902230;BP;e;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage;2/956;4/46923;0.002421065;9;2;1;0.036657532;172775.0, 179259.0
GO:0036444;BP;e;calcium import into the mitochondrion;2/956;4/46923;0.002421065;10;2;1;0.036657532;178287.0, 181594.0
GO:0000154;BP;e;rRNA modification;2/956;4/46923;0.002421065;10;2;1;0.036657532;172182.0, 188022.0
GO:1905812;BP;e;regulation of motor neuron axon guidance;2/956;4/46923;0.002421065;9;2;1;0.036657532;172233.0, 179259.0
GO:0030513;BP;e;positive regulation of BMP signaling pathway;2/956;4/46923;0.002421065;8;2;1;0.036657532;172233.0, 180761.0
GO:0072375;BP;e;medium-term memory;2/956;4/46923;0.002421065;7;2;1;0.036657532;175622.0, 180864.0
GO:0043067;BP;e;regulation of programmed cell death;2/956;4/46923;0.002421065;4;2;1;0.036657532;181053.0, 3565200.0
GO:0042989;BP;e;sequestering of actin monomers;2/956;4/46923;0.002421065;12;2;1;0.036657532;173161.0, 181711.0
GO:0016071;BP;e;mRNA metabolic process;2/956;4/46923;0.002421065;7;2;1;0.036657532;180549.0, 182722.0
GO:0006851;BP;e;mitochondrial calcium ion transmembrane transport;2/956;4/46923;0.002421065;9;2;1;0.036657532;178287.0, 181594.0
GO:0099536;BP;e;synaptic signaling;2/956;4/46923;0.002421065;5;2;1;0.036657532;171715.0, 3565419.0
GO:0030177;BP;e;positive regulation of Wnt signaling pathway;2/956;4/46923;0.002421065;7;2;1;0.036657532;174109.0, 175020.0
GO:0051968;BP;e;positive regulation of synaptic transmission, glutamatergic;2/956;4/46923;0.002421065;8;2;1;0.036657532;172493.0, 173336.0
GO:0000466;BP;e;maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);2/956;4/46923;0.002421065;11;2;1;0.036657532;172226.0, 175414.0
GO:0035335;BP;e;peptidyl-tyrosine dephosphorylation;2/956;4/46923;0.002421065;7;2;1;0.036657532;173904.0, 3565419.0
GO:0016331;BP;e;morphogenesis of embryonic epithelium;3/956;14/46923;0.002594339;5;3;1;0.03879813;173794.0, 174728.0, 176697.0
GO:0009968;BP;e;negative regulation of signal transduction;3/956;14/46923;0.002594339;6;3;1;0.03879813;172823.0, 176415.0, 180840.0
GO:0098703;BP;e;calcium ion import across plasma membrane;3/956;14/46923;0.002594339;10;3;1;0.03879813;172105.0, 177513.0, 181475.0
GO:0042594;BP;e;response to starvation;4/956;29/46923;0.002710771;3;4;1;0.040373886;176040.0, 178895.0, 178981.0, 180311.0
GO:0009653;BP;e;anatomical structure morphogenesis;5/956;48/46923;0.002882045;2;5;1;0.042750338;173007.0, 173740.0, 176808.0, 180357.0, 182874.0
GO:0007017;BP;e;microtubule-based process;4/956;30/46923;0.003077929;2;4;1;0.045471112;176361.0, 176758.0, 178250.0, 191697.0
GO:0050804;BP;e;modulation of chemical synaptic transmission;3/956;15/46923;0.003194084;6;3;1;0.046620855;171715.0, 172823.0, 180203.0
GO:0042395;BP;e;ecdysis, collagen and cuticulin-based cuticle;3/956;15/46923;0.003194084;3;3;1;0.046620855;174614.0, 178013.0, 180783.0
GO:0045664;BP;e;regulation of neuron differentiation;3/956;15/46923;0.003194084;5;3;1;0.046620855;177144.0, 180672.0, 182722.0
GO:0005634;CC;e;nucleus;213/956;2581/46923;7.78019E-71;5;213;7.28226E-68;7.28226E-68;171622.0, 171670.0, 171784.0, 171810.0, 171811.0, 171833.0, 171892.0, 171901.0, 171920.0, 172070.0, 172182.0, 172192.0, 172226.0, 172291.0, 172435.0, 172624.0, 172640.0, 172677.0, 172752.0, 172775.0, 172779.0, 172889.0, 172891.0, 172893.0, 172928.0, 173028.0, 173073.0, 173074.0, 173142.0, 173203.0, 173244.0, 173322.0, 173437.0, 173439.0, 173512.0, 173652.0, 173696.0, 173740.0, 173749.0, 173779.0, 173854.0, 173904.0, 173960.0, 173968.0, 174134.0, 174151.0, 174153.0, 174154.0, 174168.0, 174285.0, 174329.0, 174341.0, 174380.0, 174509.0, 174534.0, 174614.0, 174623.0, 174707.0, 174974.0, 175094.0, 175172.0, 175218.0, 175270.0, 175357.0, 175414.0, 175476.0, 175531.0, 175536.0, 175541.0, 175698.0, 175731.0, 175742.0, 175775.0, 175788.0, 175832.0, 175890.0, 175903.0, 175953.0, 176000.0, 176022.0, 176058.0, 176063.0, 176078.0, 176088.0, 176134.0, 176157.0, 176189.0, 176209.0, 176237.0, 176328.0, 176346.0, 176361.0, 176362.0, 176426.0, 176449.0, 176450.0, 176504.0, 176506.0, 176531.0, 176546.0, 176617.0, 176623.0, 176624.0, 176646.0, 176678.0, 176679.0, 176758.0, 176774.0, 176808.0, 176817.0, 176838.0, 176937.0, 177054.0, 177084.0, 177144.0, 177212.0, 177415.0, 177511.0, 177543.0, 177568.0, 177611.0, 177615.0, 177643.0, 177720.0, 177824.0, 177848.0, 177853.0, 177924.0, 177931.0, 178006.0, 178088.0, 178250.0, 178353.0, 178437.0, 178439.0, 178514.0, 178639.0, 178707.0, 178835.0, 178851.0, 178942.0, 179115.0, 179178.0, 179259.0, 179356.0, 179388.0, 179423.0, 179522.0, 179539.0, 179671.0, 179724.0, 179732.0, 179768.0, 179819.0, 179920.0, 179947.0, 180028.0, 180109.0, 180246.0, 180357.0, 180478.0, 180479.0, 180545.0, 180549.0, 180574.0, 180655.0, 180672.0, 180677.0, 180690.0, 180771.0, 180880.0, 180942.0, 181053.0, 181111.0, 181231.0, 181292.0, 181320.0, 181371.0, 181523.0, 181573.0, 181727.0, 181783.0, 182124.0, 182350.0, 182371.0, 182467.0, 182648.0, 182722.0, 182874.0, 182932.0, 183963.0, 184006.0, 184793.0, 185460.0, 185980.0, 187002.0, 187120.0, 188793.0, 190298.0, 190400.0, 190925.0, 190979.0, 192081.0, 259389.0, 259844.0, 260030.0, 266825.0, 266845.0, 3565712.0, 4363023.0, 6418830.0, 24104475.0, 24105155.0
GO:0005737;CC;e;cytoplasm;192/956;2388/46923;1.43792E-61;2;192;1.34589E-58;6.72947E-59;171616.0, 171687.0, 171715.0, 171784.0, 171818.0, 171821.0, 171953.0, 171988.0, 172221.0, 172291.0, 172303.0, 172483.0, 172505.0, 172585.0, 172597.0, 172609.0, 172640.0, 172775.0, 172779.0, 172823.0, 172889.0, 172891.0, 172936.0, 173028.0, 173075.0, 173160.0, 173161.0, 173203.0, 173217.0, 173357.0, 173369.0, 173374.0, 173512.0, 173701.0, 173813.0, 173904.0, 173918.0, 173947.0, 173985.0, 174011.0, 174039.0, 174109.0, 174134.0, 174155.0, 174168.0, 174267.0, 174288.0, 174352.0, 174375.0, 174476.0, 174509.0, 174525.0, 174614.0, 174623.0, 174673.0, 174691.0, 174693.0, 174728.0, 174803.0, 174908.0, 175094.0, 175218.0, 175298.0, 175335.0, 175376.0, 175476.0, 175698.0, 175788.0, 175832.0, 175917.0, 176000.0, 176022.0, 176040.0, 176122.0, 176179.0, 176302.0, 176328.0, 176346.0, 176349.0, 176361.0, 176390.0, 176435.0, 176444.0, 176588.0, 176616.0, 176624.0, 176697.0, 176758.0, 176766.0, 176774.0, 176799.0, 176808.0, 176923.0, 177084.0, 177102.0, 177236.0, 177335.0, 177511.0, 177611.0, 177615.0, 177924.0, 177931.0, 178006.0, 178081.0, 178131.0, 178139.0, 178250.0, 178397.0, 178402.0, 178403.0, 178437.0, 178487.0, 178491.0, 178619.0, 178639.0, 178895.0, 178942.0, 178981.0, 178992.0, 179039.0, 179077.0, 179179.0, 179196.0, 179388.0, 179423.0, 179492.0, 179522.0, 179596.0, 179624.0, 179649.0, 179732.0, 179768.0, 179912.0, 180014.0, 180028.0, 180244.0, 180311.0, 180420.0, 180478.0, 180492.0, 180545.0, 180549.0, 180571.0, 180574.0, 180655.0, 180657.0, 180667.0, 180677.0, 180690.0, 180760.0, 180792.0, 180810.0, 180844.0, 180856.0, 180864.0, 180880.0, 181076.0, 181212.0, 181227.0, 181248.0, 181255.0, 181261.0, 181265.0, 181595.0, 181600.0, 181644.0, 181689.0, 181711.0, 181727.0, 181756.0, 182286.0, 182722.0, 182932.0, 184091.0, 184624.0, 185682.0, 185709.0, 185980.0, 188812.0, 189715.0, 189905.0, 190098.0, 190400.0, 190778.0, 191697.0, 246008.0, 259498.0, 266844.0, 3565400.0, 3565442.0, 3565732.0, 4926960.0
GO:0005730;CC;e;nucleolus;55/956;174/46923;1.98126E-49;5;55;1.85446E-46;6.18154E-47;171622.0, 171743.0, 171811.0, 171892.0, 171901.0, 172182.0, 172192.0, 172223.0, 172226.0, 172320.0, 172624.0, 172752.0, 172954.0, 173432.0, 173437.0, 173439.0, 173696.0, 173778.0, 173779.0, 173854.0, 173968.0, 174151.0, 174168.0, 174329.0, 174534.0, 174572.0, 174691.0, 175218.0, 175414.0, 175531.0, 175536.0, 175903.0, 176022.0, 176134.0, 176292.0, 176504.0, 176531.0, 176646.0, 177054.0, 177582.0, 177621.0, 178088.0, 178103.0, 178229.0, 178667.0, 178851.0, 179115.0, 179178.0, 180039.0, 180246.0, 182648.0, 190203.0, 266845.0, 6418594.0, 24104475.0
